Utilization,Borrow APR (annual),Supply APR (annual)
0.0,0.0,0.0
0.05,0.01125,0.00050625
0.1,0.0225,0.002025
0.15000000000000002,0.03375,0.004556250000000001
0.2,0.045,0.0081
0.25,0.056249999999999994,0.012656249999999999
0.30000000000000004,0.0675,0.018225000000000005
0.35000000000000003,0.07875,0.024806250000000005
0.4,0.09,0.0324
0.45,0.10124999999999999,0.04100625
0.5,0.11249999999999999,0.050624999999999996
0.55,0.12375,0.06125625
0.6000000000000001,0.135,0.07290000000000002
0.65,0.14625,0.08555625
0.7000000000000001,0.1575,0.09922500000000002
0.75,0.16874999999999998,0.11390625
0.8,0.18,0.1296
0.8500000000000001,0.5100000000000005,0.3901500000000004
0.9,0.8400000000000001,0.6804000000000001
0.9500000000000001,1.1700000000000004,1.0003500000000003
1.0,1.5,1.35
