,Day,Cumulative Supplier Net (USD),Cumulative Protocol Revenue (USD)
0,1,2410.541095890411,2.554794520547945
1,2,4821.800672916329,5.147403837701502
2,3,7233.802699929257,7.779089469960897
3,4,9646.571182269106,10.451114856268772
4,5,12060.130162979494,13.16474541997343
5,6,14474.503724027014,15.921248633000694
6,7,16889.715987524585,18.721894080241352
7,8,19305.791116959062,21.567953524161197
8,9,21722.753318423172,24.460700969640722
9,10,24140.62684185198,27.401412729051557
10,11,26159.43598226396,30.391367487576797
11,12,28179.205081006865,33.4318463687824
12,13,30199.95852700849,36.524133000446874
13,14,32221.720758032476,39.669513580656556
14,15,34244.5162619393,42.86927694417377
15,16,36268.36957795262,46.124714629085275
16,17,38293.30529793103,49.437120943738414
17,18,40319.34806764548,52.80779303397244
18,19,42346.5225880624,56.23803095065254
19,20,44374.85361663277,59.72913771751421
20,21,46402.812686905374,64.83570108113685
21,22,48431.914470784264,70.06923262323599
22,23,50462.182590616794,75.4323570490727
23,24,52493.6407272054,80.92770555891714
24,25,54526.31262105879,86.55791598707205
25,26,56560.22207364964,92.32563294161055
26,27,58595.39294867874,98.23350794484408
27,28,60631.849173345974,104.28419957453681
28,29,62669.61473962809,110.48037360588279
29,30,64708.7137055635,116.82470315426231
30,31,65949.17019654429,123.31986881879406
31,32,67191.00840661544,129.96855882669996
32,33,68434.25259978164,136.77346917849928
33,34,69678.9271113216,143.73730379404967
34,35,70925.05634911021,150.8627746594516
35,36,72172.66479494865,158.15260197483423
36,37,73421.7770059025,165.60951430304007
37,38,74672.41761564817,173.2362487192259
38,39,75924.61133582772,181.03555096139826
39,40,77178.38295741225,189.01017558190142
40,41,78433.75735207403,197.16288609987592
41,42,79690.7594735675,205.4964551547065
42,43,80949.41435911944,214.0136646604778
43,44,82209.74713082825,222.71730596145665
44,45,83471.78299707272,231.61017998862022
45,46,84735.54725393039,240.69509741724897
46,47,86001.06528660558,249.9748788256041
47,48,87268.36257086752,259.452354854709
48,49,88537.46467449843,269.13036636925443
49,50,89808.39725875198,279.0117646196482
50,51,91095.58979900462,302.8098996828114
51,52,92408.9489190946,333.14967970530444
52,53,93749.53889431802,370.2971735111581
53,54,95118.47193971805,414.53043486116644
54,55,96516.9111841134,466.14024596000274
55,56,97946.07385975438,525.4309148702515
56,57,99407.23472632939,592.7211315140006
57,58,100901.72974990963,668.3448874090611
58,59,102430.96005949867,752.652464806321
59,60,103996.39620616919,846.0115014739523
60,61,104999.58275235705,948.8081380209157
61,62,106042.14322177443,1061.4482553752612
62,63,107125.78544364238,1184.358810842249
63,64,108252.30732857308,1317.989282074923
64,65,109423.60311750862,1462.8132293088095
65,66,110641.67014970657,1618.8009872212308
66,67,111899.20439628192,1783.1845488650665
67,68,113156.73864285725,1948.2436593923699
68,69,114414.2728894326,2113.9810950314295
69,70,115671.80713600793,2280.3996434196906
70,71,116929.34138258328,2447.502103650643
71,72,118186.87562915862,2615.2912863209012
72,73,119444.40987573397,2783.7700135774753
73,74,120701.9441223093,2952.9411191652407
74,75,121959.47836888465,3122.8074484746
75,76,123217.01261545999,3293.37185858934
76,77,124474.54686203533,3464.6372183346884
77,78,125732.08110861067,3636.6064083255656
78,79,126989.61535518602,3809.2823210150354
79,80,128247.14960176135,3982.6678607429553
80,81,129504.6838483367,4156.765943784825
81,82,130762.21809491204,4331.57949840084
82,83,132019.7523414874,4507.11146488514
83,84,133277.28658806274,4683.364795615265
84,85,134534.82083463806,4860.342455101816
85,86,135792.3550812134,5038.047420038311
86,87,137049.88932778875,5216.482679351258
87,88,138307.4235743641,5395.651234250423
88,89,139564.95782093942,5575.55609827931
89,90,140822.49206751477,5756.200297365851
